sentiment,text
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
negative,RT @SriramARR: Shocked seeing this video in one of the WhatsApp status of my contacts. People forget that we are cricket fans and cheer for…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
positive,RT @deeputalks: Most consecutive tosses won by a team in IPL:\n\n9 #SRH (May 2015 - Apr 2016)\n8 #CSK (May 2018 - Mar 2019)\n8 #CSK (Apr 2019 -…
positive,RT @MumbaiIndiansTN: Oldest Indian to smash Century\nOldest Indian to Win orange cap\n1st Crickter to smash 200 4s In IPL\nOnly Indian to smas…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
positive,RT @MumbaiIndiansTN: .@sachin_rt Records  In #Ipl \n\n1st Captain to smash century\n1st Captain to win orange cap\n1st Indian to win Orange Cap…
positive,RT @DHONIism: Most appearance in IPL Play offs\n\n10 - CSK* 😎\n7 - MI\n6 - KKR\n5 - RCB
positive,@monicas004 First learn the ABC of cricket then tweet \n\nHave you see the average of MSD in 2019 IPL
positive,RT @MusicThaman: @ChennaiIPL first team to qualify for #Playoffs \n@IPL 2019 \n@msdhoni &amp; his team ✨🤙\n\n♥️♥️♥️♥️♥️♥️♥️\n🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏\n\n#whatatea…
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
positive,RT @DHONIism: CSK become the first team to qualify for playoffs in this season of IPL. 😎\n\n10 Seasons. 💛\n10 Playoffs. 💪 https://t.co/n6whJS7…
positive,RT @imDhoni_fc: Most consecutive tosses won by a team in IPL:\n\n9 SRH (May 2015 - Apr 2016)\n8 CSK (May 2018 - Mar 2019)\n*8 CSK (Apr 2019 - o…
positive,"@karthik_jammy Emerging Player i think ,dont think it’s mentioned young anywhere n all \nEveryone born after some da… https://t.co/rrRxfoU3kN"
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
positive,CSK_Win\nBy_6_Wkt's\nIPL\nTarGeT_176\n#\nCSK_176/4\nOvS_19.5\nJadhav_10*\nBravo_0*\n#CSKvSRH\n#\n#ZuBaiR MeO
positive,"RT @DHONIism: In the final of IPL 2019, \nThe first over Watson faced was a maiden,\nThen he scored 117* (56) 🔥\n\nToday's Match Vs SRH\nThe fir…"
positive,RT @MohammadKaif: Bails have now become 30% heavier with all the wires inside it. We have seen so many times in this IPL already with bails…
positive,@jbairstow21 amazing contribution for @SunRisers mate ! we were entertained and looking you forward to the next sea… https://t.co/LFPYQ3yJiC
positive,IPL KING @ImRaina\nAll the best for next game  👍 https://t.co/FcdyLvmRCK
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
negative,"RT @IPL: Will @msdhoni tell @bhogleharsha the secret to @ChennaiIPL's consistency, season after season 👀\n\n#CSKvSRH https://t.co/FMasdNUqzP"
positive,RT @CricketNDTV: #ShaneWatson helps #ChennaiSuperKings outshine #sunrisershyderabad to reclaim top position\n\n#CSKvsSRH\n#IPL2019\n\nREAD: http…
positive,New post (Ipl best bowling bhuvi) has been published on CricketFan 24 - https://t.co/Q59ZtJTZhu https://t.co/XKZ8KeBAKA
negative,RT @ncvish: #unfair to record the relay catches in the final catchers name on the scoreboard as the entire hard work is done by the fielder…
positive,RT @IPL: It went down to the penultimate ball but @ShaneRWatson33's 96 ensured that @ChennaiIPL win at the Chepauk tonight!\n\n#CSKvSRH https…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
positive,RT @IPL: Here's wishing the Master Blaster and one of the greatest legends of the game @sachin_rt a very happy birthday 😍😍\n\n#HappyBirthdayS…
negative,"@sardesairajdeep @RishabPant777 If you remember, kl Rahul had a fantastic 2018 IPL but failed in the odis against E… https://t.co/Ytqkf7SI2Q"
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
negative,"RT @cricbuzz: Manish Pandey grabs his opportunity, scores 83* helping Hyderabad to 175 runs on the board. Can Chennai gun it down? Watch @g…"
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
neutral,I had heard a bit about Ajay Jadeja before his appearances on @cricbuzz and I decided I was not a fan of him. But a… https://t.co/SuCgXiuLyQ
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
positive,"RT @cricbuzz: Order restored as Chennai return to winning ways courtesy a Shane Watson special. @gauravkapur, @7polly7 and Ajay Jadeja anal…"
positive,"RT @cricbuzz: Order restored as Chennai return to winning ways courtesy a Shane Watson special. @gauravkapur, @7polly7 and Ajay Jadeja anal…"
neutral,Big fan of @cricbuzz and #CricbuzzLive Just a request from a fan..When the interviews are typed can we please have… https://t.co/XnqOQ7hWvG
negative,You had to see the expressions of ajay jadeja sir when shaun sir says that i am feeling lonely without my two balls… https://t.co/7wQlHmHzTU
neutral,"\ I want to thank Fleming and ms Dhoni for keeping the faith in me \""- Shane Watson 😀\n#IPL2019 #CSKvSRH #MSDhoni #shanewatson #CricbuzzLIVE"""
neutral,@bhogleharsha please ask @msdhoni why he keeps that pen in his pocket after signing the match ball.#ipl2019 even yo… https://t.co/mzROysbK0X
positive,@7polly7 is a perfect addition.  #CricbuzzLIVE @gauravkapur @Ajith_tweets
positive,"RT @cricbuzz: Order restored as Chennai return to winning ways courtesy a Shane Watson special. @gauravkapur, @7polly7 and Ajay Jadeja anal…"
positive,RT @shrikantkangud1: Why #Dhoni has special captain\nBelieve 10 match continuelly on #Watson And that's results on 11th match \n#CricbuzzLIVE…
negative,RT @ShauryaSanawar: Rashid: I dont have bad days..\nShane: Wat-Son.? 😂🙏\n#ShaneWatson @ShaneRWatson33 #CSKvSRH #IPL2019 #CricbuzzLIVE
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
positive,"Order restored as Chennai return to winning ways courtesy a Shane Watson special. gauravkapur, 7polly7 and Ajay Jad… https://t.co/v7QabLVgXp"
positive,"RT @cricbuzz: Order restored as Chennai return to winning ways courtesy a Shane Watson special. @gauravkapur, @7polly7 and Ajay Jadeja anal…"
positive,Csk is going to win today match #CricbuzzLIVE
negative,Is Raydue  playing selfish cricket this season ? @cricbuzz #CricbuzzLIVE
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
positive,"RT @Umangism: #Rahane you beauty!! He is a delight to watch when he bats like this. Very happy for him.\n\nSimple man, simple celebration.😊🎉…"
positive,Good to see both watto and manish returning to form in the same match. #CricbuzzLIVE #haveyoursay
positive,Why #Dhoni has special captain\nBelieve 10 match continuelly on #Watson And that's results on 11th match \n#CricbuzzLIVE #IPL2019 #CSKvSRH #
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
negative,Rashid: I dont have bad days..\nShane: Wat-Son.? 😂🙏\n#ShaneWatson @ShaneRWatson33 #CSKvSRH #IPL2019 #CricbuzzLIVE
negative,A poor captianancy fron bhuvi @cricbuzz #CSKvSRH #CricbuzzLIVE @IamNicck
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
positive,"What makes @rashidkhan_19 soo unpredictable, effective n mysterious after playing so many #T20 leagues.\nIs it the m… https://t.co/GGisulZaUJ"
neutral,Considering Sandeep has gone for runs today V Shankar or D Hooda can be tried for one over @cricbuzz #CricbuzzLIVE #SRHvsCSK
positive,RT @cricbuzz: There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai #ShaneWatson #F…
positive,There were signs of Watson getting back to his own - Ajay Jadeja on PlayMPL presents #CricbuzzLIVE. #Chennai… https://t.co/mOdbwClXzX
positive,There were signs of Watson getting back to his own - Ajay Jadeja on PlayMPL presents #CricbuzzLIVE. #Chennai… https://t.co/Ipparevmzr
positive,There were signs of Watson getting back to his own - Ajay Jadeja on @PlayMPL presents #CricbuzzLIVE. #Chennai… https://t.co/6ZMJ2pSnF9
neutral,will Watson cross 30 balls this ipl #CSK #CSKvSRH #SRH #IPL2019 #CricbuzzLIVE @cricbuzz
negative,Ongoing CSK vs SRH match feels to me like an Action Replay of last year's IPL final..\nSame slow start by Watson and… https://t.co/tr1fjrPwWO
neutral,@ImRaina is playing a @im_manishpandey...\n#CSKvSRH #CricbuzzLIVE
neutral,Raina nd Sandeep over in powerplay... Affair continues #kxip\n#then\n#SRH \n#now\n#mripl \n#CSKvSRH\n#CricbuzzLIVE
neutral,@ImRaina going to repeat the innings played against Kings11 punjab 3 years back. \n#CSKvSRH #CricbuzzLIVE @cricbuzz
neutral,"#staraikelungal #AskStar In case of wicket, its been taken  that the bails should be off the stumps not just the st… https://t.co/wlD7F7byXQ"
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
neutral,So that it is not necessary for the bails to come off for a runout...what a rule sir ji...\n@bhogleharsha \n#CSKvSRH \n#CricbuzzLIVE
negative,Very disappointed with the pitch report by Darren Ganga........it's not helping spinners it's helping seamers… https://t.co/fWqTcSULTH
positive,I guess now CSK fans can und what Kohli feels with his bowlers that MSD feels with his top order. Only difference i… https://t.co/ocphMM8Nba
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
neutral,@cricbuzz #CricbuzzLIVE It is Wasim Jaffer
negative,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations and has m…"
negative,"On PlayMPL presents #CricbuzzLIVE, 7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations a… https://t.co/qy6PGrBEHQ"
negative,"On PlayMPL presents #CricbuzzLIVE, 7polly7 and Ajay Jadeja highlight how #MSDhoni thrives in difficult situations a… https://t.co/YPXQTMY6Ub"
neutral,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off his initi…"
negative,"Manish Pandey grabs his opportunity, scores 83* helping Hyderabad to 175 runs on the board. Can Chennai gun it down… https://t.co/RFKnuNeP2Q"
negative,"Manish Pandey grabs his opportunity, scores 83* helping Hyderabad to 175 runs on the board. Can Chennai gun it down… https://t.co/waRWyHCerW"
neutral,"RT @BCCIcricNews: On PlayMPL presents #CricbuzzLIVE, 7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off his ini…"
negative,"RT @cricbuzz: Manish Pandey grabs his opportunity, scores 83* helping Hyderabad to 175 runs on the board. Can Chennai gun it down? Watch @g…"
negative,"Manish Pandey grabs his opportunity, scores 83* helping Hyderabad to 175 runs on the board. Can Chennai gun it down… https://t.co/wpc2c8ALI6"
neutral,@deeputalks what is the number of balls @im_manishpandey faced after David Warner wicket? #CricbuzzLIVE
neutral,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off his initi…"
positive,@gauravkapur @bhogleharsha #CricbuzzLIVE @7polly7 @vijayshankar260 doing what he does best. Nothing extraordinary but everything necessary.
neutral,"RT @cricbuzz: On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off his initi…"
neutral,"On PlayMPL presents #CricbuzzLIVE, 7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off h… https://t.co/zZiqKswMs1"
neutral,"On PlayMPL presents #CricbuzzLIVE, 7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off h… https://t.co/acSQMsKZl5"
neutral,"On @PlayMPL presents #CricbuzzLIVE, @7polly7 and Ajay Jadeja discuss how Bhuvneshwar Kumar has managed to shrug off… https://t.co/xQJqoMJSME"
neutral,M pandey deserves a century here #CricbuzzLIVE
positive,Pichle Pura saaal ka runs issi IPL mein baana lega kya re @davidwarner31 #CricbuzzLIVE \n\n100 runs already clear of… https://t.co/d8F5gAf90M
positive,No matter how much u troll guys like Kohli and warner for their attitude. U just can't imagine ur lineup without th… https://t.co/h51IjAGoID
positive,This is the result when potential players were paved in a good path ( bat pos ) good comeback knock by… https://t.co/9XAvElQkwj
neutral,Now time for kedar jadhav...#CSKvSRH  #CricbuzzLIVE
positive,"It seems that Pakistan has No spinner except Yasir Shah , Every time Pak wants spinner @Inzamam08\nAdded him in to t… https://t.co/bsjiHuSwL6"
positive,Cricbuzz is making jokes is it really 000000 9th over of Jadeja 🤣 #cricbuzz #CricketMeriJaan #CricbuzzLIVE #funny https://t.co/34xdX1ytTI
positive,"RT @DilipPurohit90: First Indian batsman to score a ipl hundred @im_manishpandey, looks like he has come to repeat the history. @cricbuzz\n#…"
negative,"@cricbuzz Seriously!!  I think you need new developers ;) \nIf you want one, I'm always there.\n#SRHvsCSK… https://t.co/RbKhXn4Rvi"
neutral,Problem every we're #CricbuzzLIVE https://t.co/Wof6m7ZnA5
positive,First innings itself is not over how u define manish is the stylish player?#starikelungal #IPL #CricbuzzLIVE #cricbuzz
positive,"Manish pandey promoted up the order despite his failures, now he is on a song. That's a good move from @SunRisers ,… https://t.co/LCzkLDzFuP"
negative,where other team  struggling to score at chepuk\nSRH is playing well \nthat's the warner man in form \n#CricbuzzLIVE #CSKvSRH \n@taurausvarun
positive,"why the hell you're not showing ipl score on top, You're an indian creator and you're not showing score of our dome… https://t.co/03Yytzwd4b"
neutral,The big surprise.....\nBravo bowling the 8th over instead of 13th or 14th!!!!\nThat’s what is the pressure of Warner… https://t.co/gycmMpN9iP
positive,"RT @cricbuzz: Today's Joy Factor question is a tough one to crack. Let us know once you have, using #CricbuzzLIVE https://t.co/XXz0eGl8uN"
positive,"how's the pitch playing, is ball spinning or not?  they are scoring runs at 9rpo which we don't see here much… https://t.co/zt9IfvnxSV"
neutral,RT @HitmanCricket: A piece I had written on KL Rahul regarding the ongoing #IPL season and the road to World Cup. Do read! \n\nhttps://t.co/p…
neutral,"RT @punjabkesari: IPL 2019 : मैच हारने के बाद भुवनेश्वर का बड़ा बयान आया सामने, बेयरस्टो पर भी बोले \n#IPL2019 #IPL12 #IPL #SRHvCSK #Bhuvnes…"
neutral,RT @MSDArmy: #ThalaDhoni And #ChinnaThala Raina \nin #IPL Playoffs\n\n2008 - Both\n2009 - Both\n2010 - Both\n2011 - Both\n2012 - Both\n2013 - Both…
neutral,22nd Apr 2013:\nWatson scored an IPL century at Chennai.\n\n23rd April 2019:\nWatson almost scored an IPL century for Chennai.\n#IPL\n-\n#GM_KaMI
neutral,22nd Apr 2013:\nWatson scored an IPL century at Chennai.\n\n23rd April 2019:\nWatson almost scored an IPL century for Chennai.\n#IPL
neutral,Watch all the events that happened related to 'mankad' starting from Ashwin-Buttler Incident :-… https://t.co/TcuFkzW7x6
neutral,RT @MSDArmy: #ThalaDhoni And #ChinnaThala Raina \nin #IPL Playoffs\n\n2008 - Both\n2009 - Both\n2010 - Both\n2011 - Both\n2012 - Both\n2013 - Both…
neutral,RT @cricket_country: #IPL2019 \n\n@im_manishpandey's superlative 83* coupled with @davidwarner31's 57 power @SunRisers to 175/3\n\nINNINGS REPO…
positive,RT @cricadium: Magnificent knock by Manish Pandey help #SRH set a target of 176 for #CSK !\n\nLive Score: https://t.co/rsXOAPToNK\n\r#CSKvSRH #…
positive,"RT @cricket_country: #IPL2019 #IPL #SRHvCSK \n\n\It's down to him to turn things around. That's the exciting part for him and us\""\n\n@im_manish…"""
neutral,"RT @IndianHotDeal: IPL 2019, 43rd Match: KKR vs RR Dream11 Team Predictions, Playing XI\n\nCheck: https://t.co/xghFURuMpd \n\n#IPL2019 #IPL12 #…"
neutral,"IPL 2019, 43rd Match: KKR vs RR Dream11 Team Predictions, Playing XI\n\nCheck: https://t.co/xghFURuMpd \n\n#IPL2019… https://t.co/8EbWLJYUY2"
neutral,RT @MSDArmy: #ThalaDhoni And #ChinnaThala Raina \nin #IPL Playoffs\n\n2008 - Both\n2009 - Both\n2010 - Both\n2011 - Both\n2012 - Both\n2013 - Both…
neutral,RT @galattadotcom: Watson's MASS Comeback at Chepauk | CSK v SRH Highlights in Tamil | IPL 2019\n#CSKvSRH #Watto #AnbuDen #Chepauk #CSk #IPL…
neutral,RT @PTTVOnlineNews: ஐபிஎல் 2019: சிஎஸ்கேவும்... செல்லப்பெயர்களும்... #IPL #IPL2019 #CSK https://t.co/66CJsqZXoF
neutral,RT @cricket_country: #IPL2019 \n\n@im_manishpandey's superlative 83* coupled with @davidwarner31's 57 power @SunRisers to 175/3\n\nINNINGS REPO…
neutral,RT @HitmanCricket: A piece I had written on KL Rahul regarding the ongoing #IPL season and the road to World Cup. Do read! \n\nhttps://t.co/p…
neutral,RT @HitmanCricket: A piece I had written on KL Rahul regarding the ongoing #IPL season and the road to World Cup. Do read! \n\nhttps://t.co/p…
positive,RT @CricketNDTV: #RoyalChallengersBangalore look to stay alive in tournament when they face #KingsXIPunjab\n\n#RCBvKXIP\n#IPL2019\n#IPL12\n#IPL…
positive,#IPL2019 #IPL #CSKvSRH #SRHvCSK\n\n@ShaneRWatson33's 96 powers @ChennaiIPL's to six-wicket win over @SunRisers.\n\nMORE… https://t.co/HKeXJnwlWX
neutral,எல்லாம் ‘தல’ தோனி தயவு தான்... கண்டிப்பா நன்றி சொல்லனும்...: வாட்சன்! \nhttps://t.co/BRdxVZsG4i #IPL #CSKvsSRH… https://t.co/EOcP8OSoo3
neutral,RT @PTTVOnlineNews: ஐபிஎல் 2019: சிஎஸ்கேவும்... செல்லப்பெயர்களும்... #IPL #IPL2019 #CSK https://t.co/66CJsqZXoF
negative,"I think @msdhoni has big fitness problem ahead of World Cup 2019.\n\nHis Back problem is getting bad, and he is hopin… https://t.co/pJASF0xRZD"
neutral,IPL 2019: Shane Watson gives credit to Dhoni for his batting. Find out why?\n\nhttps://t.co/0nUNu6AcZz\n\n#XtraTime… https://t.co/mr3NtgtE5W
positive,#IPL2019 \n\nCan’t thank @msdhoni and Fleming enough for showing faith in me: @ShaneRWatson33 \n\nMORE HERE:… https://t.co/QWmNGNtSvt
positive,RT @cricadium: Magnificent knock by Manish Pandey help #SRH set a target of 176 for #CSK !\n\nLive Score: https://t.co/rsXOAPToNK\n\r#CSKvSRH #…
neutral,#HeloCric #HeloCric #IPL 2019 మీమ్స్😂 #ఐ లవ్ క్రికెట్ #విరాట్ కోహ్లి #HeloCric #మహేంద్ర సింగ్ ధోనీ🤘 #HeloCric #... https://t.co/aRySP2tFI1
neutral,RT @MSDArmy: #ThalaDhoni And #ChinnaThala Raina \nin #IPL Playoffs\n\n2008 - Both\n2009 - Both\n2010 - Both\n2011 - Both\n2012 - Both\n2013 - Both…
neutral,RT @MSDArmy: #ThalaDhoni And #ChinnaThala Raina \nin #IPL Playoffs\n\n2008 - Both\n2009 - Both\n2010 - Both\n2011 - Both\n2012 - Both\n2013 - Both…
neutral,22nd Apr 2013:\nWatson scored an IPL century at Chennai.\n\n23rd April 2019:\nWatson almost scored an IPL century for Chennai.\n#IPL\n-\n#GM_KaMI
positive,IPL 2019: This is what Dhoni wants from his batting unit ahead of the playoffs\n\nhttps://t.co/k9nQkIfslY\n\n#XtraTime… https://t.co/RwRMIKIE6R
